forecast_week,start_date,end_date
1,2020-08-22,2020-08-29
2,2020-08-30,2020-09-05
3,2020-09-06,2020-09-12
4,2020-09-13,2020-09-19
5,2020-09-20,2020-09-26
6,2020-09-27,2020-10-03
7,2020-10-04,2020-10-10
8,2020-10-11,2020-10-17
9,2020-10-18,2020-10-24
10,2020-10-25,2020-10-31
11,2020-11-01,2020-11-07
12,2020-11-08,2020-11-14
13,2020-11-15,2020-11-21
14,2020-11-22,2020-11-28
15,2020-11-29,2020-12-05
16,2020-12-06,2020-12-12
